schema_name,version,property_name,num_values,output_filename
HeritageObject,v0.9,resourceType,2,HeritageObject-resourceType.jsonld
HeritageObject,v0.9,titleType,5,HeritageObject-titleType.jsonld
HeritageObject,v0.9,descriptionType,4,HeritageObject-descriptionType.jsonld
HeritageObject,v0.9,objectType,2,HeritageObject-objectType.jsonld
HeritageObject,v0.9,funderIdentifierType,5,HeritageObject-funderIdentifierType.jsonld
HeritageObject,v0.9,relatedIdentifierType,19,HeritageObject-relatedIdentifierType.jsonld
HeritageObject,v0.9,relationType,36,HeritageObject-relationType.jsonld
HeritageObject,v0.9,resourceTypeGeneral,30,HeritageObject-resourceTypeGeneral.jsonld
Sample,v0.9,titleType,5,Sample-titleType.jsonld
Sample,v0.9,descriptionType,4,Sample-descriptionType.jsonld
Sample,v0.9,relatedIdentifierType,19,Sample-relatedIdentifierType.jsonld
Sample,v0.9,relationType,1,Sample-relationType.jsonld
Sample,v0.9,resourceTypeGeneral,1,Sample-resourceTypeGeneral.jsonld
Sample,v0.9,sampleType,5,Sample-sampleType.jsonld
Sample,v0.9,funderIdentifierType,5,Sample-funderIdentifierType.jsonld
Sample,v0.9,relatedIdentifiers-relationType,36,Sample-relatedIdentifiers-relationType.jsonld
Sample,v0.9,relatedIdentifiers-resourceTypeGeneral,30,Sample-relatedIdentifiers-resourceTypeGeneral.jsonld
